Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
"Tremont Av (B,D)",,Bx,"9,727","9,980","10,246","10,055","10,398","9,769",-629,-6.00%,167
Van Cortlandt Park-242 St (1),,Bx,"7,107","7,338","7,431","7,396","7,742","7,330",-412,-5.30%,209
Wakefield-241 St (2),11,Bx,"5,168","5,186","5,213","5,129","4,763","4,538",-225,-4.70%,308
"West Farms Sq-East Tremont Av (2,5)",,Bx,"8,170","8,010","7,848","7,657","6,866","6,741",-125,-1.80%,227
Westchester Sq-East Tremont Av (6),,Bx,"7,351","6,912","6,635","6,479","6,097","6,113",16,0.30%,250
Whitlock Av (6),,Bx,"1,707","1,737","1,830","1,905","1,894","1,907",13,0.70%,403
Woodlawn (4),,Bx,"7,683","7,637","7,623","7,260","6,937","6,680",-257,-3.70%,230
Zerega Av (6),12,Bx,"2,012","1,647","2,629","2,664","2,629","2,676",47,1.80%,381
Brooklyn,,,,,,,,,,,
"15 St-Prospect Park (F,G)",,B,"6,495","6,385","6,342","6,272","6,136","6,324",188,3.10%,244
18 Av (D),,B,"6,326","6,242","6,413","6,196","6,136","6,218",82,1.30%,248
18 Av (F),,B,"4,050","4,458","4,440","4,318","3,947","3,667",-281,-7.10%,344
18 Av (N),13,B,"5,491","5,502","2,266","3,107","3,097","3,681",584,18.90%,342
20 Av (D),,B,"4,930","5,115","5,268","5,009","4,905","5,037",132,2.70%,286
20 Av (N),15,B,"4,277","4,223","1,348","2,139","3,514","3,692",178,5.10%,341
25 Av (D),,B,"4,761","4,886","6,507","5,790","5,083","4,877",-206,-4.10%,291
25 St (R),,B,"3,959","3,847","3,788","4,547","3,755","3,738",-17,-0.50%,337
"36 St (D,N,R)",,B,"12,497","12,810","13,180","13,894","13,493","13,342",-151,-1.10%,116
"4 Av (F,G)/9 St (R)",,B,"12,835","13,126","13,116","13,962","12,560","12,563",3,0.00%,125
45 St (R),,B,"7,208","7,265","7,055","7,877","7,205","7,755",550,7.60%,195
50 St (D),,B,"3,289","3,220","3,336","3,236","3,195","3,246",51,1.60%,360
53 St (R),17,B,"7,512","7,458","7,386","3,788","7,565","8,812","1,247",16.50%,178
55 St (D),,B,"1,981","2,002","2,223","2,106","2,185","2,141",-44,-2.00%,397
"59 St (N,R)",,B,"12,871","13,048","13,144","16,759","12,301","11,240","-1,061",-8.60%,140
"7 Av (B,Q)",,B,"9,495","9,641","9,731","10,270","10,210","10,209",-1,0.00%,155
"7 Av (F,G)",,B,"12,242","12,049","11,897","11,801","11,636","11,880",244,2.10%,131
71 St (D),,B,"4,682","4,802","6,501","5,905","5,607","5,499",-108,-1.90%,272
77 St (R),,B,"5,548","5,608","5,720","6,746","5,612","5,595",-17,-0.30%,268
79 St (D),,B,"6,617","6,755","6,973","6,565","6,177","6,225",48,0.80%,247
8 Av (N),,B,"11,341","11,430","14,201","12,514","11,474","11,608",134,1.20%,135
86 St (N),18,B,"2,622","2,718","1,298","1,534","1,928","2,224",296,15.40%,395
86 St (R),,B,"11,920","11,963","12,078","11,742","11,338","11,233",-105,-0.90%,142
9 Av (D),,B,"6,004","5,856","5,867","5,471","5,344","5,406",62,1.20%,277
Alabama Av (J),,B,"2,448","2,520","2,585","2,424","2,147","2,089",-58,-2.70%,398
Atlantic Av (L),20,B,"1,725","1,384","1,455","1,821","1,842","1,593",-249,-13.50%,411
