Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",,M,"125,355","126,776","125,682","127,664","126,576","125,498","-1,078",-0.90%,3
34 St-Hudson Yards (7),,M,,"2,064","8,507","10,082","10,789","18,875","8,086",75.00%,74
"34 St-Penn Station (1,2,3)",,M,"92,693","92,176","90,524","85,585","85,180","84,975",-205,-0.20%,6
"34 St-Penn Station (A,C,E)",,M,"85,634","84,778","82,584","78,904","80,346","82,855","2,509",3.10%,7
"42 St-Bryant Pk (B,D,F,M)/5 Av (7)",,M,"54,289","55,400","57,793","57,395","55,872","58,339","2,467",4.40%,12
"47-50 Sts-Rockefeller Center (B,D,F,M)",,M,"62,693","63,803","62,283","61,478","61,027","63,609","2,582",4.20%,11
"49 St (N,R,W)",,M,"26,546","25,459","27,077","26,519","25,911","23,854","-2,057",-7.90%,52
"5 Av-53 St (E,M)",,M,"26,761","26,955","26,566","25,746","27,612","27,934",322,1.20%,37
"5 Av-59 St (N,R,W)",,M,"19,245","18,957","18,637","16,871","16,638","15,854",-784,-4.70%,91
50 St (1),,M,"27,251","26,927","26,362","25,932","26,268","26,712",444,1.70%,39
"50 St (C,E)",,M,"20,993","20,828","20,921","20,502","19,757","21,223","1,466",7.40%,62
57 St (F),71,M,"15,506","15,725","15,768","15,154","7,638","14,254","6,616",86.60%,109
"57 St-7 Av (N,Q,R,W)",,M,"29,414","29,976","30,311","35,390","37,870","35,078","-2,792",-7.40%,26
"59 St-Columbus Circle (A,B,C,D,1)",,M,"74,572","73,954","73,836","73,105","73,003","72,959",-44,-0.10%,8
66 St-Lincoln Center (1),,M,"24,311","24,631","24,064","22,918","22,890","22,949",59,0.30%,56
68 St-Hunter College (6),,M,"36,208","35,640","35,068","24,456","22,757","23,430",673,3.00%,54
"7 Av (B,D,E)",,M,"16,833","17,356","17,538","17,334","17,947","18,475",528,2.90%,77
"72 St (1,2,3)",,M,"40,639","40,506","40,450","38,957","39,477","38,061","-1,416",-3.60%,24
"72 St (B,C)",72,M,"9,361","9,443","9,448","8,803","4,472","8,651","4,179",93.40%,179
72 St (Q),,M,,,,"28,145","30,253","31,585","1,332",4.40%,30
77 St (6),,M,"37,521","36,797","36,103","27,584","25,369","25,996",627,2.50%,43
79 St (1),,M,"16,987","16,865","16,372","15,698","15,175","14,918",-257,-1.70%,99
"8 St-New York University (R,W)",,M,"17,248","17,902","18,305","16,994","17,192","16,870",-322,-1.90%,85
"81 St-Museum of Natural History (B,C)",,M,"13,935","14,129","14,140","13,313","15,383","13,420","-1,963",-12.80%,115
86 St (1),,M,"20,221","20,145","19,757","18,882","19,325","18,221","-1,104",-5.70%,79
"86 St (4,5,6)",,M,"65,634","65,948","64,793","45,882","43,169","43,282",113,0.30%,20
"86 St (B,C)",73,M,"11,605","11,594","11,809","10,681","6,007","10,652","4,645",77.30%,148
86 St (Q),,M,,,,"23,722","25,455","26,307",852,3.30%,42
"96 St (1,2,3)",,M,"39,254","39,434","38,859","37,043","36,026","35,617",-409,-1.10%,25
96 St (6),,M,"26,529","28,060","26,939","18,983","17,447","17,432",-15,-0.10%,82
"96 St (B,C)",,M,"10,203","10,365","10,425","9,733","9,924","10,059",135,1.40%,161
96 St (Q),,M,,,,"17,150","19,318","19,704",386,2.00%,72
Astor Place (6),,M,"17,803","17,274","16,806","16,377","16,031","17,180","1,149",7.20%,84
"Bowery (J,Z)",,M,"3,015","3,325","3,504","3,715","3,738","3,842",104,2.80%,335
"Bowling Green (4,5)",,M,"34,830","31,556","31,522","29,395","28,646","28,664",18,0.10%,35
"Broad St (J,Z)",,M,"6,525","6,865","7,279","7,130","7,050","7,710",660,9.40%,197
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",,M,"40,148","39,724","39,058","37,986","36,493","38,527","2,034",5.60%,23
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",,M,"37,160","35,858","34,352","31,804","30,932","30,961",29,0.10%,31
Canal St (1),,M,"6,277","6,275","6,116","5,996","6,410","6,830",420,6.60%,225
"Canal St (A,C,E)",,M,"19,974","20,103","19,660","19,789","20,424","21,206",782,3.80%,63
"Canal St (J,N,Q,R,W,Z,6)",,M,"44,362","44,409","45,030","47,601","47,034","47,629",595,1.30%,16
Cathedral Pkwy-110 St (1),,M,"13,630","13,444","12,926","12,394","12,526","11,826",-700,-5.60%,133
"Cathedral Pkwy-110 St (B,C)",74,M,"7,253","7,490","7,553","7,523","3,785","7,382","3,597",95.00%,206
"Central Park North-110 St (2,3)",,M,"9,559","9,865","9,855","9,233","8,815","8,470",-345,-3.90%,186
"Chambers St (1,2,3)",,M,"23,862","23,997","23,574","22,419","21,303","20,613",-690,-3.20%,65
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",,M,"61,076","66,165","67,906","70,356","72,396","71,970",-426,-0.60%,9
Christopher St-Sheridan Sq (1),,M,"10,060","9,898","9,792","9,570","9,675","10,089",414,4.30%,160
"City Hall (R,W)",,M,"4,344","6,310","6,766","7,731","6,657","6,050",-607,-9.10%,252
"Delancey St (F)/Essex St (J,M,Z)",,M,"24,154","24,902","25,625","24,993","24,562","26,685","2,123",8.60%,40
Dyckman St (1),,M,"7,112","7,233","7,297","7,231","7,002","6,624",-378,-5.40%,234
Dyckman St (A),,M,"6,687","6,831","6,874","6,739","6,477","6,874",397,6.10%,224
East Broadway (F),,M,"13,720","14,228","14,654","14,365","13,868","13,995",127,0.90%,110
Franklin St (1),,M,"5,867","5,825","5,984","5,809","5,943","5,370",-573,-9.60%,278
"Fulton St (A,C,J,Z,2,3,4,5)",,M,"69,444","74,676","85,440","91,771","92,990","94,607","1,617",1.70%,5
"Grand Central-42 St (S,4,5,6,7)",,M,"157,899","160,294","158,580","154,711","155,345","157,273","1,928",1.20%,2
"Grand St (B,D)",,M,"24,153","24,281","24,649","24,460","23,422","24,323",901,3.80%,49
Harlem-148 St (3),,M,"3,952","4,096","4,017","3,899","4,074","3,707",-367,-9.00%,340
Houston St (1),,M,"15,878","15,286","15,333","15,283","15,698","15,685",-13,-0.10%,92
Inwood-207 St (A),,M,"9,136","9,317","9,350","9,217","8,793","9,615",822,9.30%,169
"Lexington Av (N,R,W)/59 St (4,5,6)",,M,"69,332","68,988","67,684","58,467","55,608","54,907",-701,-1.30%,14
"Lexington Av-53 St (E,M)/51 St (6)",,M,"70,606","70,686","69,750","66,118","64,499","66,260","1,761",2.70%,10
"Lexington Av-63 St (F,Q)",,M,"15,493","16,098","16,988","20,893","21,394","21,574",180,0.80%,60
Marble Hill-225 St (1),,M,"5,766","5,732","5,636","5,473","5,433","5,075",-358,-6.60%,284
"Prince St (R,W)",,M,"15,404","15,597","15,424","14,400","14,408","12,827","-1,581",-11.00%,121
Rector St (1),,M,"10,869","10,625","9,788","9,453","9,005","8,471",-534,-5.90%,185
"Rector St (R,W)",,M,"4,127","6,157","6,524","7,092","7,185","6,926",-259,-3.60%,222
Roosevelt Island (F),,M,"5,998","6,197","6,630","7,354","7,153","7,489",336,4.70%,201
"South Ferry (1)/Whitehall St (R,W)",,M,"23,017","28,809","29,534","33,019","33,797","34,033",236,0.70%,29
Spring St (6),,M,"12,327","11,543","11,390","11,019","10,822","11,230",408,3.80%,143
"Spring St (C,E)",,M,"13,319","12,914","12,775","12,360","13,054","14,756","1,702",13.00%,102
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",,M,"204,908","206,247","202,363","203,545","204,017","205,159","1,142",0.60%,1
"Wall St (2,3)",,M,"28,075","27,242","27,291","26,022","23,968","24,618",650,2.70%,48
"Wall St (4,5)",,M,"25,619","23,595","22,211","20,420","19,745","19,994",249,1.30%,68
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",,M,"41,968","42,760","42,755","41,835","40,666","41,938","1,272",3.10%,21
WTC Cortlandt (1),75,M,0,0,0,0,"3,558","13,871","10,313",289.90%,113
Queens,,,,,,,,,,,
103 St-Corona Plaza (7),,Q,"19,814","20,044","20,282","20,101","19,682","19,943",261,1.30%,69
104 St (A),76,Q,"1,333","1,890","2,189","1,900","1,841","1,823",-18,-1.00%,405
"104 St (J,Z)",78,Q,"2,659","2,710","2,758","1,727","1,587","2,727","1,140",71.90%,380
111 St (7),,Q,"11,091","11,198","11,421","11,384","11,091","11,280",189,1.70%,139
111 St (A),80,Q,"2,815","2,727","1,947","2,571","2,596","2,620",24,0.90%,383
111 St (J),82,Q,"2,596","2,627","2,607","3,235","2,819","1,169","-1,650",-58.50%,415
"121 St (J,Z)",83,Q,"2,397","2,462","2,500","1,135","1,354","2,341",987,72.90%,393
169 St (F),,Q,"9,106","9,138","9,016","8,671","8,109","8,004",-105,-1.30%,191
21 St (G),85,Q,"1,265","1,564","1,735","1,863","1,757","1,675",-82,-4.70%,409
21 St-Queensbridge (F),,Q,"8,914","9,447","9,779","10,209","10,840","11,184",344,3.20%,145
"30 Av (N,W)",86,Q,"14,897","14,771","14,739","11,381","8,286","17,906","9,620",116.10%,81
33 St-Rawson St (7),,Q,"14,256","13,604","13,302","12,429","11,029","10,574",-455,-4.10%,151
"36 Av (N,W)",87,Q,"7,577","7,447","7,347","5,525","5,073","6,602","1,529",30.10%,235
"36 St (M,R)",,Q,"4,597","4,733","4,776","4,786","5,177","4,725",-452,-8.70%,300
"39 Av-Dutch Kills (N,W)",88,Q,"3,504","3,391","3,207","3,267","2,356","2,555",199,8.50%,385
40 St-Lowery St (7),,Q,"11,211","11,053","11,089","10,624","9,954","10,028",74,0.70%,162
"46 St (M,R)",,Q,"9,608","9,439","9,362","9,049","8,752","8,556",-196,-2.20%,181
46 St-Bliss St (7),,Q,"14,634","14,413","14,335","13,614","12,828","12,702",-126,-1.00%,123
52 St (7),,Q,"6,951","6,888","6,795","6,495","6,001","6,079",78,1.30%,251
"63 Dr-Rego Park (M,R)",,Q,"16,771","16,770","16,868","16,323","15,574","15,567",-7,0.00%,93
"65 St (M,R)",,Q,"3,647","3,762","3,747","3,621","3,601","3,554",-47,-1.30%,348
"67 Av (M,R)",,Q,"9,544","9,548","9,479","9,181","8,774","8,881",107,1.20%,174
69 St (7),,Q,"5,128","4,988","5,072","4,973","4,679","4,818",139,3.00%,294
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,Q,"51,285","51,925","52,296","52,018","51,766","52,159",393,0.80%,15
"75 Av (E,F)",,Q,"3,742","3,756","3,710","3,365","3,455","3,549",94,2.70%,349
"75 St-Elderts Ln (J,Z)",,Q,"3,777","3,837","3,837","3,641","3,464","3,573",109,3.10%,345
80 St (A),89,Q,"4,664","4,445","3,574","4,416","4,316","4,274",-42,-1.00%,323
82 St-Jackson Hts (7),,Q,"15,899","15,711","15,765","15,393","14,626","15,056",430,2.90%,98
85 St-Forest Pkwy (J),,Q,"3,860","3,947","3,968","3,923","3,699","3,669",-30,-0.80%,343
88 St (A),91,Q,"2,065","3,464","3,221","2,965","2,835","2,860",25,0.90%,375
90 St-Elmhurst Av (7),,Q,"16,747","16,814","16,957","16,848","16,253","16,365",112,0.70%,88
Aqueduct Racetrack (A),,Q,1597,1711,1739,1672,1901,"1,594",-307,-16.10%,410
Aqueduct-North Conduit Av (A),,Q,"1,122","1,181","1,125","1,031",921,893,-28,-3.10%,419
"Astoria Blvd (N,W)",93,Q,"12,209","12,344","12,358","13,103","14,425","2,410","-12,015",-83.30%,392
"Astoria-Ditmars Blvd (N,W)",,Q,"17,178","17,181","17,345","16,686","15,663","17,912","2,249",14.40%,80
"Beach 105 St (A,S)",,Q,260,305,289,278,261,243,-18,-6.80%,424
Beach 25 St (A),,Q,1722,1861,1968,1925,1792,"1,720",-72,-4.00%,406
Beach 36 St (A),,Q,872,936,975,962,887,951,64,7.20%,417
Beach 44 St (A),,Q,581,624,676,690,693,699,6,0.90%,420
Beach 60 St (A),,Q,"2,448","2,501","2,507","2,319","2,013","2,008",-5,-0.20%,401
Beach 67 St-Arverne By The Sea (A),,Q,"2,183","2,407","2,493","2,440","2,103","2,252",149,7.10%,394
"Beach 90 St (A,S)",,Q,846,946,939,1110,1097,946,-151,-13.80%,418
"Beach 98 St (A,S)",,Q,563,608,579,531,481,478,-3,-0.70%,422
"Briarwood-Van Wyck Blvd (E,F)",,Q,"4,695","4,876","5,057","5,061","4,913","4,970",57,1.20%,289
"Broad Channel (A,S)",,Q,251,310,313,302,285,313,28,9.90%,423
"Broadway (N,W)",94,Q,"13,515","13,236","12,957","13,242","8,473","10,195","1,722",20.30%,157
"Court Sq (E,G,M,7)",,Q,"22,433","22,717","23,317","23,672","23,995","23,600",-395,-1.60%,53
"Elmhurst Av (M,R)",,Q,"13,568","13,588","13,508","12,967","12,463","12,362",-101,-0.80%,127
Far Rockaway-Mott Av (A),,Q,"4,748","4,989","5,009","4,738","4,435","4,388",-47,-1.10%,315
Flushing-Main St (7),,Q,"60,252","60,226","60,259","58,511","55,669","56,503",834,1.50%,13
Forest Av (M),95,Q,"4,210","4,386","4,429","2,819","3,124","4,235","1,111",35.60%,324
"Forest Hills-71 Av (E,F,M,R)",,Q,"27,784","28,209","28,135","27,760","26,613","26,477",-136,-0.50%,41
Fresh Pond Rd (M),96,Q,"5,677","6,002","6,130","4,223","4,716","5,882","1,166",24.70%,257
"Grand Av-Newtown (M,R)",,Q,"18,413","18,955","19,373","18,754","18,489","18,531",42,0.20%,76
Howard Beach-JFK Airport (A),,Q,"2,835","3,059","3,011","3,292","3,376","3,483",107,3.20%,350
Hunters Point Av (7),,Q,"6,666","6,803","7,292","7,283","7,205","7,039",-166,-2.30%,217
"Jamaica Center-Parsons-Archer (E,J,Z)",,Q,"42,261","42,115","41,603","39,326","36,368","34,419","-1,949",-5.40%,28
Jamaica-179 St (F),,Q,"23,093","23,417","23,121","22,421","21,452","21,353",-99,-0.50%,61
Jamaica-Van Wyck (E),,Q,"5,121","5,092","5,022","4,972","4,717","4,561",-156,-3.30%,306
Junction Blvd (7),,Q,"21,116","21,557","22,051","21,751","21,100","21,149",49,0.20%,64
"Kew Gardens-Union Turnpike (E,F)",,Q,"27,693","27,558","27,085","26,493","25,536","25,235",-301,-1.20%,46
Mets-Willets Point (7),,Q,"4,555","5,244","5,367","5,028","4,606","4,973",367,8.00%,288
Middle Village-Metropolitan Av (M),97,Q,"4,318","4,489","4,530","3,064","3,225","3,726",501,15.50%,338
"Northern Blvd (M,R)",,Q,"7,431","7,428","7,413","7,107","6,904","6,682",-222,-3.20%,229
Ozone Park-Lefferts Blvd (A),,Q,"7,641","7,732","8,023","7,722","7,591","7,434",-157,-2.10%,204
Parsons Blvd (F),,Q,"6,540","6,640","6,644","6,593","6,462","6,654",192,3.00%,231
"Queens Plaza (E,M,R)",,Q,"10,125","10,475","10,652","11,369","12,747","14,298","1,551",12.20%,107
"Queensboro Plaza (N,W,7)",,Q,"11,554","11,786","12,936","13,502","14,517","14,533",16,0.10%,105
Rockaway Blvd (A),98,Q,"8,474","5,690","7,683","7,786","7,534","7,450",-84,-1.10%,203
"Rockaway Park-Beach 116 St (A,S)",,Q,677,747,727,683,696,660,-36,-5.20%,421
Seneca Av (M),100,Q,"2,545","2,726","2,832","1,576","1,818","3,210","1,392",76.60%,365
"Steinway St (M,R)",,Q,"14,870","14,895","14,836","14,867","15,590","14,640",-950,-6.10%,104
Sutphin Blvd (F),,Q,"4,795","4,851","4,652","4,496","4,291","4,328",37,0.90%,318
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,Q,"23,747","24,349","24,796","23,843","23,388","23,891",503,2.20%,50
Vernon Blvd-Jackson Av (7),,Q,"14,123","14,819","15,910","15,781","15,093","15,151",58,0.40%,96
"Woodhaven Blvd (J,Z)",,Q,"4,796","4,940","4,838","5,104","4,771","4,607",-164,-3.40%,305
"Woodhaven Blvd (M,R)",,Q,"22,156","22,220","22,483","21,879","20,704","20,340",-364,-1.80%,66
Woodside-61 St (7),,Q,"16,807","17,007","17,236","16,945","16,501","16,684",183,1.10%,87
,,,,,,,,,,,
Brooklyn,,,"1,210,086","1,227,391","1,226,715","1,213,998","1,188,606","1,190,461","1,855",0.20%,
Bronx,,,"486,783","488,379","490,877","481,267","451,214","448,301","-2,913",-0.60%,
Manhattan,,,"3,103,039","3,130,437","3,128,188","3,100,902","3,042,005","3,092,234","50,229",1.70%,
Queens,,,"797,420","804,251","809,903","784,312","755,778","762,880","7,102",0.90%,
Systemwide Adjustment,,,223,152,72,366,-17,,17,,
System Total,,,"5,597,551","5,650,610","5,655,755","5,580,845","5,437,586","5,493,875","56,289",1.00%,
,,,,,,,,,,,
"MTA New York City Transit Stations with Temporary Closings from 2014 to 2019 shown in blue; see ""Closures"" worksheet for details.",,,,,,,,,,,
