Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
"Tremont Av (B,D)",,Bx,"12,001","11,209","10,921","10,962","10,951","10,314",-637,-5.80%,162
Van Cortlandt Park-242 St (1),,Bx,"6,927","7,302","7,317","6,865","6,728","5,894",-834,-12.40%,253
Wakefield-241 St (2),11,Bx,"6,451","6,094","6,069","5,027","4,954","4,534",-420,-8.50%,302
"West Farms Sq-East Tremont Av (2,5)",,Bx,"8,875","7,230","8,447","8,074","6,283","7,097",814,13.00%,221
Westchester Sq-East Tremont Av (6),,Bx,"5,619","5,464","4,784","4,999","4,903","4,435",-468,-9.50%,305
Whitlock Av (6),,Bx,"2,002","1,864","1,913","2,035","2,013","1,850",-163,-8.10%,395
Woodlawn (4),,Bx,"7,686","8,724","8,010","7,271","7,251","7,255",4,0.10%,214
Zerega Av (6),12,Bx,"1,576","1,327","2,080","2,253","2,274","2,100",-174,-7.70%,386
Brooklyn,,,,,,,,,,,
"15 St-Prospect Park (F,G)",,B,"6,651","7,103","6,272","5,968","5,622","6,526",904,16.10%,234
18 Av (D),,B,"7,032","6,073","6,681","6,807","6,328","6,534",206,3.30%,233
18 Av (F),,B,"4,465","4,663","3,787","3,271","2,807","3,280",473,16.90%,345
18 Av (N),13,B,"6,865","6,996","2,602","3,695","3,516","4,402",886,25.20%,309
20 Av (D),,B,"5,621","5,252","5,656","5,584","5,191","5,374",183,3.50%,273
20 Av (N),15,B,"3,946","3,701","1,176","2,194","3,286","3,669",383,11.70%,333
25 Av (D),,B,"5,053","4,827","6,064","5,798","5,078","4,854",-224,-4.40%,288
25 St (R),,B,"4,895","4,434","4,071","4,012","3,555","3,703",148,4.20%,331
"36 St (D,N,R)",,B,"14,553","16,290","16,191","18,871","15,943","15,917",-26,-0.20%,95
"4 Av (F,G)/9 St (R)",,B,"15,711","15,860","14,654","14,351","13,111","13,444",333,2.50%,116
45 St (R),,B,"8,938","8,620","7,805","7,054","7,643","8,908","1,265",16.60%,180
50 St (D),,B,"3,102","2,672","2,902","2,934","2,733","2,686",-47,-1.70%,361
53 St (R),17,B,"9,007","8,678","8,148","4,009","8,258","10,117","1,859",22.50%,165
55 St (D),,B,"1,767","1,525","1,758","1,729","1,681","1,634",-47,-2.80%,401
"59 St (N,R)",,B,"14,966","15,344","14,917","19,650","15,980","14,830","-1,150",-7.20%,102
"7 Av (B,Q)",,B,"9,492","9,731","8,581","11,619","9,720","9,335",-385,-4.00%,172
"7 Av (F,G)",,B,"14,246","13,202","12,325","11,570","11,300","12,067",767,6.80%,141
71 St (D),,B,"5,271","4,808","6,732","6,434","5,811","5,866",55,1.00%,254
77 St (R),,B,"5,509","5,448","5,247","4,881","4,553","4,584",31,0.70%,298
79 St (D),,B,"6,504","5,856","6,494","6,630","5,956","6,180",224,3.80%,243
8 Av (N),,B,"17,434","15,960","17,252","16,278","14,040","15,213","1,173",8.40%,99
86 St (N),18,B,"3,090","3,023","1,578","1,900","2,165","2,580",415,19.20%,371
86 St (R),,B,"13,178","12,889","12,263","9,662","10,657","10,441",-216,-2.00%,161
9 Av (D),,B,"7,466","6,372","6,541","6,297","5,560","6,029",469,8.40%,250
Alabama Av (J),,B,"2,948","3,163","3,206","2,540","1,930","1,768",-162,-8.40%,396
Atlantic Av (L),20,B,"1,752","1,267","1,179","1,728","1,647","1,165",-482,-29.30%,412
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",,B,"55,601","54,221","53,638","53,133","51,838","53,013","1,175",2.30%,15
Avenue H (Q),,B,"2,584","2,506","2,590","2,948","3,000","2,502",-498,-16.60%,372
Avenue I (F),21,B,"2,236","1,874","1,529",783,835,"1,411",576,69.00%,407
Avenue J (Q),,B,"5,528","5,782","5,524","6,327","6,098","5,261",-837,-13.70%,275
Avenue M (Q),,B,"4,111","4,345","4,246","5,091","5,064","4,402",-662,-13.10%,308
Avenue N (F),23,B,"3,282","2,888","2,320","1,417","1,447","2,255",808,55.80%,383
Avenue P (F),25,B,"2,909","2,628","2,244","1,290","1,318","2,060",742,56.30%,387
Avenue U (F),27,B,"2,483","1,715","2,080",875,820,"1,463",643,78.40%,404
Avenue U (N),29,B,"4,915","4,767","1,795","2,803","2,954","3,931",977,33.10%,324
Avenue U (Q),,B,"7,500","8,322","8,188","8,804","8,492","8,248",-245,-2.90%,191
Avenue X (F),31,B,"2,999","1,817","1,988","1,822","1,759","2,112",353,20.10%,385
Bay 50 St (D),,B,"2,784","2,575","2,960","2,854","2,649","2,619",-30,-1.10%,364
Bay Pkwy (D),,B,"9,097","8,350","9,471","9,306","8,575","8,742",167,1.90%,184
Bay Pkwy (F),33,B,"1,690","1,476","1,232",522,536,"1,090",554,103.40%,413
Bay Pkwy (N),,B,"8,808","8,609","11,631","10,537","7,605","7,266",-339,-4.50%,213
Bay Ridge Av (R),35,B,"8,967","9,001","8,719","4,005","7,072","7,294",222,3.10%,212
Bay Ridge-95 St (R),,B,"5,837","5,730","5,510","4,361","4,754","4,663",-91,-1.90%,293
Bedford Av (L),,B,"54,863","45,740","49,479","48,007","42,024","26,623","-15,401",-36.60%,39
Bedford-Nostrand Avs (G),,B,"9,798","10,057","9,815","10,274","9,742","9,901",159,1.60%,167
"Bergen St (2,3)",,B,"4,381","4,384","4,433","3,729","3,906","4,168",262,6.70%,318
"Bergen St (F,G)",,B,"14,118","14,243","12,161","12,047","11,737","12,914","1,177",10.00%,126
Beverley Rd (Q),36,B,"2,787","2,967","3,183","3,811","3,801","3,259",-542,-14.30%,346
"Beverly Rd (2,5)",,B,"4,176","4,699","4,376","4,268","4,081","3,532",-549,-13.50%,338
"Brighton Beach (B,Q)",,B,"12,524","13,763","13,137","13,830","12,828","13,276",448,3.50%,118
Broadway (G),,B,"4,261","5,368","5,292","4,592","4,816","5,953","1,137",23.60%,251
"Broadway Junction (A,C,J,L,Z)",,B,"12,553","14,361","13,638","12,960","13,505","14,131",626,4.60%,109
Bushwick Av-Aberdeen St (L),,B,"2,477","2,198","2,470","2,683","2,605","1,595","-1,010",-38.80%,402
Canarsie-Rockaway Pkwy (L),,B,"13,478","10,709","9,961","11,231","10,207","8,898","-1,309",-12.80%,181
"Carroll St (F,G)",,B,"11,587","11,821","10,034","10,389","10,168","11,279","1,111",10.90%,155
Central Av (M),37,B,"2,472","3,596","3,080",845,"2,143","6,148","4,005",186.90%,246
"Chauncey St (J,Z)",,B,"3,345","4,231","4,309","4,194","3,690","4,587",897,24.30%,297
"Church Av (2,5)",,B,"9,375","10,219","9,569","9,141","8,751","7,777",-974,-11.10%,201
"Church Av (B,Q)",,B,"18,797","21,472","18,017","19,961","17,461","16,908",-554,-3.20%,89
"Church Av (F,G)",38,B,"12,224","12,511","13,332","12,592","12,594","12,009",-585,-4.60%,143
"Clark St (2,3)",,B,"8,599","9,018","9,083","3,708","3,851","6,562","2,711",70.40%,232
Classon Av (G),,B,"5,606","6,265","5,645","5,290","5,502","6,155",653,11.90%,245
Cleveland St (J),,B,"4,104","4,119","3,945","3,296","2,657","2,442",-215,-8.10%,375
Clinton-Washington Avs (C),,B,"6,753","7,011","7,119","7,224","7,035","6,036",-999,-14.20%,249
Clinton-Washington Avs (G),,B,"6,170","6,501","5,585","4,806","4,723","5,252",529,11.20%,276
"Coney Island-Stillwell Av (D,F,N,Q)",,B,"26,733","27,415","25,961","24,556","22,536","23,468",932,4.10%,48
Cortelyou Rd (Q),39,B,"6,328","6,892","6,666","7,610","7,263","6,338",-925,-12.70%,241
"Court St (R)/Borough Hall (2,3,4,5)",,B,"28,947","28,593","25,365","25,259","24,195","22,988","-1,207",-5.00%,49
"Crescent St (J,Z)",,B,"6,020","6,122","5,999","6,243","5,792","4,675","-1,117",-19.30%,292
"Crown Heights-Utica Av (3,4)",,B,"27,343","33,065","29,939","29,038","26,901","27,286",385,1.40%,38
