Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
3 Av (L),,M,"11,875","10,481","11,420","10,336","8,941","4,513","-4,428",-49.50%,303
33 St (6),,M,"26,363","24,782","25,391","23,708","22,606","22,166",-440,-1.90%,55
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",,M,"134,816","132,961","126,221","132,429","126,221","136,508","10,287",8.10%,2
34 St-Hudson Yards (7),,M,,"3,183","9,618","9,941","8,135","23,959","15,824",194.50%,46
"34 St-Penn Station (1,2,3)",,M,"92,317","88,770","84,702","78,533","78,700","79,364",664,0.80%,7
"34 St-Penn Station (A,C,E)",,M,"86,057","83,698","74,992","78,878","80,930","83,555","2,625",3.20%,5
"42 St-Bryant Pk (B,D,F,M)/5 Av (7)",,M,"37,872","38,673","40,137","37,101","33,521","43,255","9,734",29.00%,23
"47-50 Sts-Rockefeller Center (B,D,F,M)",,M,"41,198","40,299","39,633","33,776","31,634","43,757","12,123",38.30%,22
"49 St (N,R,W)",,M,"32,745","28,130","33,634","34,714","33,001","24,305","-8,696",-26.30%,43
"5 Av-53 St (E,M)",,M,"13,416","13,438","8,340","10,450","13,355","10,529","-2,826",-21.20%,159
"5 Av-59 St (N,R,W)",,M,"22,921","21,633","21,376","19,704","16,544","17,438",894,5.40%,86
50 St (1),,M,"27,848","26,084","26,277","21,338","26,010","24,475","-1,535",-5.90%,42
"50 St (C,E)",,M,"27,942","27,920","26,306","27,120","26,053","27,617","1,564",6.00%,35
57 St (F),71,M,"11,907","13,122","14,693","13,057","5,640","16,919","11,279",200.00%,88
"57 St-7 Av (N,Q,R,W)",,M,"33,579","34,519","34,509","42,436","43,040","38,340","-4,700",-10.90%,25
"59 St-Columbus Circle (A,B,C,D,1)",,M,"84,152","82,220","80,270","79,870","81,271","82,229",958,1.20%,6
66 St-Lincoln Center (1),,M,"29,160","28,054","27,001","21,674","25,355","22,510","-2,845",-11.20%,52
68 St-Hunter College (6),,M,"24,694","21,588","22,104","14,682","13,871","13,702",-169,-1.20%,114
"7 Av (B,D,E)",,M,"14,772","15,228","12,512","12,818","13,440","14,771","1,331",9.90%,105
"72 St (1,2,3)",,M,"55,681","55,779","54,054","52,456","52,267","49,597","-2,670",-5.10%,17
"72 St (B,C)",72,M,"11,524","10,393","9,285","10,240","4,370","11,611","7,241",165.70%,150
72 St (Q),,M,,,,"25,717","25,320","27,585","2,265",8.90%,36
77 St (6),,M,"35,140","30,244","31,824","23,424","22,083","22,223",140,0.60%,53
79 St (1),,M,"23,523","22,886","21,987","20,497","20,898","17,404","-3,494",-16.70%,87
"8 St-New York University (R,W)",,M,"23,087","24,844","25,216","23,227","24,397","21,086","-3,311",-13.60%,62
"81 St-Museum of Natural History (B,C)",,M,"18,592","18,041","16,569","17,293","15,247","18,175","2,928",19.20%,84
86 St (1),,M,"25,221","24,588","24,228","21,901","22,559","18,713","-3,846",-17.10%,80
"86 St (4,5,6)",,M,"74,502","76,054","70,271","48,187","46,269","46,648",379,0.80%,20
"86 St (B,C)",73,M,"10,321","9,597","8,603","8,558","3,702","9,609","5,907",159.60%,168
86 St (Q),,M,,,,"30,782","29,540","31,158","1,618",5.50%,30
"96 St (1,2,3)",,M,"57,611","54,984","51,360","46,701","46,410","47,374",964,2.10%,19
96 St (6),,M,"22,217","21,115","21,033","13,940","13,124","13,080",-44,-0.30%,122
"96 St (B,C)",,M,"9,061","8,183","7,127","7,663","5,691","8,828","3,137",55.10%,182
96 St (Q),,M,,,,"20,019","20,254","21,013",759,3.70%,63
Astor Place (6),,M,"22,557","19,413","18,199","20,081","19,118","21,108","1,990",10.40%,61
"Bowery (J,Z)",,M,"5,320","6,200","6,071","7,018","5,935","6,368",433,7.30%,238
"Bowling Green (4,5)",,M,"25,472","20,356","15,072","13,956","17,548","19,531","1,983",11.30%,74
"Broad St (J,Z)",,M,101,"1,624","3,905","4,549","3,165","3,832",667,21.10%,327
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",,M,"49,789","47,332","45,189","42,746","39,512","49,255","9,743",24.70%,18
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",,M,"27,091","24,778","24,004","23,682","21,829","21,606",-223,-1.00%,59
Canal St (1),,M,"4,838","4,339","4,478","4,333","4,690","4,546",-144,-3.10%,299
"Canal St (A,C,E)",,M,"17,158","16,478","13,617","16,742","17,819","18,606",787,4.40%,81
"Canal St (J,N,Q,R,W,Z,6)",,M,"69,891","69,347","69,319","76,893","74,070","68,706","-5,364",-7.20%,9
Cathedral Pkwy-110 St (1),,M,"15,081","15,655","15,761","14,588","15,269","12,588","-2,681",-17.60%,132
"Cathedral Pkwy-110 St (B,C)",74,M,"9,270","8,577","7,851","8,562","3,673","9,539","5,866",159.70%,170
"Central Park North-110 St (2,3)",,M,"12,384","12,369","11,542","11,292","10,634","9,296","-1,338",-12.60%,173
"Chambers St (1,2,3)",,M,"16,750","17,656","17,555","14,348","12,837","12,949",112,0.90%,125
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",,M,"37,342","50,939","55,875","56,454","59,443","45,802","-13,641",-22.90%,21
Christopher St-Sheridan Sq (1),,M,"16,989","15,634","14,890","14,050","15,755","15,597",-158,-1.00%,97
"City Hall (R,W)",,M,892,"4,077","4,685","5,505","4,183","3,122","-1,061",-25.40%,352
"Delancey St (F)/Essex St (J,M,Z)",,M,"32,364","34,843","35,416","32,713","30,810","38,135","7,325",23.80%,26
Dyckman St (1),,M,"8,877","8,645","10,010","9,052","8,845","7,127","-1,718",-19.40%,220
Dyckman St (A),,M,"8,366","9,296","6,925","8,253","7,139","9,019","1,880",26.30%,177
East Broadway (F),,M,"16,041","17,418","18,482","14,803","12,494","16,305","3,811",30.50%,94
Franklin St (1),,M,"4,656","4,617","4,762","4,171","4,544","3,711",-833,-18.30%,330
"Fulton St (A,C,J,Z,2,3,4,5)",,M,"44,299","48,634","61,805","64,620","74,524","66,211","-8,313",-11.20%,10
"Grand Central-42 St (S,4,5,6,7)",,M,"108,091","109,137","104,291","103,578","103,993","105,081","1,088",1.00%,4
"Grand St (B,D)",,M,"36,238","33,632","29,977","26,192","22,469","33,417","10,948",48.70%,28
Harlem-148 St (3),,M,"3,745","4,157","3,597","4,025","3,564","3,245",-319,-8.90%,347
Houston St (1),,M,"9,686","9,088","8,717","8,341","9,224","9,359",135,1.50%,171
Inwood-207 St (A),,M,"12,130","12,944","9,526","11,110","10,182","13,063","2,881",28.30%,123
"Lexington Av (N,R,W)/59 St (4,5,6)",,M,"72,247","71,184","68,953","56,014","51,768","51,474",-294,-0.60%,16
"Lexington Av-53 St (E,M)/51 St (6)",,M,"46,802","45,716","39,505","39,678","40,095","38,538","-1,557",-3.90%,24
"Lexington Av-63 St (F,Q)",,M,"9,863","11,517","13,089","20,030","19,510","19,925",415,2.10%,70
Marble Hill-225 St (1),,M,"6,879","6,343","6,137","6,168","5,578","4,878",-700,-12.60%,286
"Prince St (R,W)",,M,"25,668","26,154","25,371","24,575","27,362","19,888","-7,474",-27.30%,72
Rector St (1),,M,"11,503","6,098","5,566","8,509","8,725","7,297","-1,428",-16.40%,210
"Rector St (R,W)",,M,"1,252","6,066","6,972","7,654","6,003","4,644","-1,359",-22.60%,294
Roosevelt Island (F),,M,"6,200","7,100","7,677","9,005","8,135","8,651",516,6.30%,185
"South Ferry (1)/Whitehall St (R,W)",,M,"22,932","25,555","26,858","33,326","30,605","29,278","-1,327",-4.30%,34
Spring St (6),,M,"19,054","15,934","16,329","16,643","16,649","16,680",31,0.20%,90
"Spring St (C,E)",,M,"10,639","9,150","8,974","9,190","9,871","12,373","2,502",25.30%,134
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",,M,"251,718","253,004","234,830","239,225","240,645","234,114","-6,531",-2.70%,1
"Wall St (2,3)",,M,"12,869","13,262","13,671","6,268","6,662","11,911","5,249",78.80%,144
"Wall St (4,5)",,M,"16,810","12,913","8,953","9,579","11,423","11,694",271,2.40%,146
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",,M,"60,412","60,441","56,440","59,543","57,400","62,905","5,505",9.60%,11
WTC Cortlandt (1),75,M,0,0,0,0,6274,"12,688","6,414",102.20%,131
Queens,,,,,,,,,,,
103 St-Corona Plaza (7),,Q,"25,974","26,056","24,283","25,432","23,972","24,171",199,0.80%,44
104 St (A),76,Q,887,"1,014","1,232","1,425","1,470","1,328",-142,-9.70%,410
"104 St (J,Z)",78,Q,"2,763","2,774","2,686","1,123",951,"1,489",538,56.50%,403
111 St (7),,Q,"15,279","15,536","15,324","15,140","14,376","17,826","3,450",24.00%,85
111 St (A),80,Q,"1,558","1,303","1,192","1,754","1,872","1,705",-167,-8.90%,398
111 St (J),82,Q,"2,594","2,630","2,566","2,296","1,523",950,-573,-37.60%,416
"121 St (J,Z)",83,Q,"2,861","2,973","2,872",858,849,"1,462",613,72.20%,405
169 St (F),,Q,"9,811","9,757","8,924","7,789","7,944","7,845",-99,-1.30%,200
21 St (G),85,Q,"1,958","2,488","2,528","2,252","1,850","2,021",171,9.30%,390
21 St-Queensbridge (F),,Q,"7,510","8,754","9,460","10,350","10,606","12,301","1,695",16.00%,136
"30 Av (N,W)",86,Q,"18,683","18,131","17,197","10,161","4,773","12,171","7,398",155.00%,140
33 St-Rawson St (7),,Q,"4,964","4,690","4,650","4,682","4,223","4,067",-156,-3.70%,320
"36 Av (N,W)",87,Q,"9,385","9,180","8,650","5,084","2,811","4,541","1,730",61.50%,300
"36 St (M,R)",,Q,"2,525","2,499","2,545","2,705","3,615","3,378",-237,-6.60%,343
"39 Av-Dutch Kills (N,W)",88,Q,"3,884","3,813","3,631","2,733","1,218","1,992",774,63.60%,391
40 St-Lowery St (7),,Q,"11,750","11,090","10,421","10,309","9,434","9,550",116,1.20%,169
"46 St (M,R)",,Q,"10,555","10,187","9,461","8,857","8,893","8,007",-886,-10.00%,196
46 St-Bliss St (7),,Q,"17,715","16,827","16,110","15,447","14,549","14,372",-177,-1.20%,108
52 St (7),,Q,"8,108","7,725","7,252","6,885","6,524","6,578",54,0.80%,231
"63 Dr-Rego Park (M,R)",,Q,"18,386","17,915","16,777","15,512","14,831","14,522",-309,-2.10%,106
"65 St (M,R)",,Q,"4,223","4,289","4,144","3,661","3,890","3,571",-319,-8.20%,335
"67 Av (M,R)",,Q,"7,743","7,778","7,163","6,692","6,615","6,997",382,5.80%,223
69 St (7),,Q,"6,941","6,557","6,362","6,186","5,844","6,166",322,5.50%,244
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,Q,"73,919","73,373","72,305","70,841","69,953","69,584",-369,-0.50%,8
"75 Av (E,F)",,Q,"3,276","3,307","2,857","2,554","2,587","2,857",270,10.40%,357
"75 St-Elderts Ln (J,Z)",,Q,"3,854","4,013","3,816","2,588","1,995","2,199",204,10.20%,384
80 St (A),89,Q,"5,915","6,203","3,405","4,101","4,285","3,843",-442,-10.30%,326
82 St-Jackson Hts (7),,Q,"20,557","20,622","19,491","20,237","18,651","19,415",764,4.10%,75
85 St-Forest Pkwy (J),,Q,"4,207","4,297","4,113","2,867","2,193","2,338",145,6.60%,379
88 St (A),91,Q,"1,599","2,316","2,386","2,335","2,462","2,280",-182,-7.40%,382
90 St-Elmhurst Av (7),,Q,"22,235","22,079","20,866","21,543","20,287","20,210",-77,-0.40%,68
Aqueduct Racetrack (A),,Q,"4,054","4,297","4,211","3,884","4,521","3,529",-992,-21.90%,339
Aqueduct-North Conduit Av (A),,Q,"1,308","1,185","1,016",860,764,658,-106,-13.90%,422
"Astoria Blvd (N,W)",93,Q,"14,815","14,410","13,659","12,273","10,175","1,905","-8,270",-81.30%,393
"Astoria-Ditmars Blvd (N,W)",,Q,"19,227","19,057","18,533","14,759","10,218","13,105","2,887",28.30%,120
"Beach 105 St (A,S)",,Q,297,374,396,462,434,442,8,1.80%,423
Beach 25 St (A),,Q,"1,479","1,753","1,806","1,699","1,600","1,434",-166,-10.40%,406
Beach 36 St (A),,Q,921,"1,056","1,037",973,900,907,7,0.80%,417
Beach 44 St (A),,Q,612,698,721,709,730,682,-48,-6.60%,421
Beach 60 St (A),,Q,"2,702","2,977","2,810","2,468","2,141","2,030",-111,-5.20%,388
Beach 67 St-Arverne By The Sea (A),,Q,"2,642","3,371","3,189","3,093","2,447","2,602",155,6.30%,369
"Beach 90 St (A,S)",,Q,"1,646","1,609","1,751","2,344","1,780","1,929",149,8.40%,392
"Beach 98 St (A,S)",,Q,"1,011","1,025","1,023",799,566,747,181,31.90%,419
"Briarwood-Van Wyck Blvd (E,F)",,Q,"4,242","4,354","4,126","3,718","3,893","4,325",432,11.10%,312
"Broad Channel (A,S)",,Q,191,234,210,204,178,192,14,7.80%,424
"Broadway (N,W)",94,Q,"17,790","17,142","16,276","12,922","5,190","8,026","2,836",54.70%,195
"Court Sq (E,G,M,7)",,Q,"17,776","17,591","16,026","18,322","20,649","19,074","-1,575",-7.60%,78
"Elmhurst Av (M,R)",,Q,"16,519","16,279","14,896","13,572","13,269","13,089",-180,-1.40%,121
Far Rockaway-Mott Av (A),,Q,"5,030","5,569","5,345","4,846","4,501","4,172",-329,-7.30%,317
Flushing-Main St (7),,Q,"69,065","68,232","70,714","70,807","66,311","57,623","-8,688",-13.10%,12
Forest Av (M),95,Q,"3,008","3,678","3,421","1,424","2,428","4,253","1,825",75.20%,313
"Forest Hills-71 Av (E,F,M,R)",,Q,"27,854","27,174","25,846","31,485","24,710","23,714",-996,-4.00%,47
Fresh Pond Rd (M),96,Q,"4,273","5,103","4,919","2,230","3,661","5,104","1,443",39.40%,280
"Grand Av-Newtown (M,R)",,Q,"21,475","21,443","20,303","18,805","18,477","18,516",39,0.20%,82
Howard Beach-JFK Airport (A),,Q,"4,349","4,740","4,365","5,145","5,348","5,110",-238,-4.40%,278
Hunters Point Av (7),,Q,"1,738","2,150","2,523","2,765","1,782","1,765",-17,-1.00%,397
"Jamaica Center-Parsons-Archer (E,J,Z)",,Q,"37,145","34,737","34,062","29,466","26,010","22,790","-3,220",-12.40%,51
Jamaica-179 St (F),,Q,"17,249","17,197","16,265","14,061","14,885","15,169",284,1.90%,100
Jamaica-Van Wyck (E),,Q,"5,200","4,532","4,672","5,407","5,544","4,540","-1,004",-18.10%,301
Junction Blvd (7),,Q,"28,848","28,900","29,702","28,592","28,045","27,550",-495,-1.80%,37
"Kew Gardens-Union Turnpike (E,F)",,Q,"24,147","24,732","22,088","19,813","21,768","22,198",430,2.00%,54
Mets-Willets Point (7),,Q,"12,295","14,507","11,209","10,608","10,624","14,041","3,417",32.20%,110
Middle Village-Metropolitan Av (M),97,Q,"3,733","4,030","3,868","1,753","2,469","2,617",148,6.00%,365
"Northern Blvd (M,R)",,Q,"7,304","7,178","6,821","6,133","6,240","5,677",-563,-9.00%,260
Ozone Park-Lefferts Blvd (A),,Q,"5,764","4,545","5,538","6,307","6,688","5,907",-781,-11.70%,252
Parsons Blvd (F),,Q,"7,096","7,420","6,736","5,905","6,593","7,207",614,9.30%,218
"Queens Plaza (E,M,R)",,Q,"7,987","8,111","7,574","9,040","11,905","12,799",894,7.50%,129
"Queensboro Plaza (N,W,7)",,Q,"15,734","14,352","14,891","20,654","25,672","24,586","-1,086",-4.20%,40
Rockaway Blvd (A),98,Q,"7,630","5,142","7,763","7,211","7,694","7,393",-301,-3.90%,208
"Rockaway Park-Beach 116 St (A,S)",,Q,"1,053","1,137","1,167","1,091","1,094","1,047",-47,-4.30%,415
Seneca Av (M),100,Q,"1,957","2,712","2,410",930,"1,899","4,858","2,959",155.80%,287
"Steinway St (M,R)",,Q,"18,764","18,200","16,851","17,555","20,427","18,461","-1,966",-9.60%,83
Sutphin Blvd (F),,Q,"4,502","4,959","4,134","3,570","3,885","4,467",582,15.00%,304
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,Q,"28,862","28,383","28,587","25,234","24,020","22,958","-1,063",-4.40%,50
Vernon Blvd-Jackson Av (7),,Q,"10,347","12,582","14,981","14,901","11,858","14,033","2,175",18.30%,111
"Woodhaven Blvd (J,Z)",,Q,"5,226","5,388","5,099","3,884","2,820","3,032",212,7.50%,354
"Woodhaven Blvd (M,R)",,Q,"27,105","26,745","25,550","23,929","22,672","21,965",-707,-3.10%,57
Woodside-61 St (7),,Q,"19,669","20,127","20,360","21,067","19,796","20,097",301,1.50%,69
,,,,,,,,,,,
Brooklyn,,,"1,367,012","1,374,097","1,311,760","1,300,395","1,240,162","1,236,451","-3,711",-0.30%,
Bronx,,,"522,852","510,469","509,047","493,061","446,132","443,741","-2,391",-0.50%,
Manhattan,,,"3,222,605","3,187,296","3,093,264","3,086,635","2,988,482","3,045,943","57,461",1.90%,
Queens,,,"873,260","871,293","844,119","802,078","764,327","768,060","3,733",0.50%,
Systemwide Adjustment,,,176,-6,11,-15,-156,,156,,
System Total,,,"5,985,905","5,943,149","5,758,201","5,682,154","5,438,947","5,494,195","55,248",1.00%,
,,,,,,,,,,,
"MTA New York City Transit Stations with Temporary Closings from 2014 to 2019 shown in blue; see ""Closures"" worksheet for details.",,,,,,,,,,,
